film,prenom,nom,date_naissance,role
Ponce Pilate,Jean ,Marais,11/12/1913,Ponce Pilate
Barabbas,Jack,Palance,18/02/1919,Torvald
Barabbas,Anthony,Quinn,21/04/1915,Barabbas
Cleopatre,Richard ,Burton,10/11/1925,Marc Antoine
Cleopatre,Elizabeth ,Taylor,27/02/1932,Cleopatre
Jason et les Argonautes,Todd,Armstrong,25/07/1937,Jason
Jason et les Argonautes,Nancy,Kovack,11/03/1935,Medee
Caligula,Malcolm,McDowell,13/06/1943,Caligula
Caligula,Helen ,Mirell,26/07/1945,Caesonia
Gladiator,Russell,Crowe,07/04/1964,Maximus
Gladiator,Joachin,Phoenix,28/10/1974,Commode
Troie,Brad ,Pitt,18/12/1963,Achille
Troie,Diane ,Kruger,15/07/1976,Helene
Ben-Hur,Charlton ,Heston,04/10/1923,Ben-Hur
Jules Cesar,Marlon,Brando,03/04/1924,Marc Antoine
Jules Cesar,Deborah,Kerr,30/09/1921,Portia
Les Dix Commandements,Charlton ,Heston,04/10/1923,Moise
Les Dix Commandements,Yul ,Brynner,11/07/1920,Ramses II
Spartacus,Kirk ,Douglas,09/12/1916,Spartacus
Spartacus,Tony ,Curtis,06/06/1925,Antoninus
Asterix et Obelix mission Cleopatre,Alain,Chabat,24/11/1958,Cesar
Asterix et Obelix mission Cleopatre,Monica,Bellucci,30/09/1964,Cleopatre